time	V(1ni)	V(vout)
1.384036612229995e-003	1.331587e+000	1.472962e+000
1.394499781872851e-003	1.229453e+000	1.471418e+000
1.404962951515708e-003	1.123208e+000	1.469875e+000
1.415426121158565e-003	1.012851e+000	1.468334e+000
1.425889290801422e-003	8.983819e-001	1.466794e+000
1.436352460444279e-003	7.798015e-001	1.465256e+000
1.446815630087136e-003	6.571094e-001	1.463719e+000
1.457278799729993e-003	5.303056e-001	1.462185e+000
1.462859156872850e-003	4.621662e-001	1.461367e+000
1.468439514015707e-003	3.936704e-001	1.460549e+000
1.474019871158564e-003	3.248184e-001	1.459732e+000
1.479600228301421e-003	2.556100e-001	1.458916e+000
1.485180585444278e-003	1.860453e-001	1.458100e+000
1.490760942587135e-003	1.161243e-001	1.457284e+000
1.496341299729992e-003	4.584690e-002	1.456469e+000
1.510989737229992e-003	-1.381168e-001	1.454332e+000
1.518662728301420e-003	-2.346567e-001	1.453214e+000
1.526335719372849e-003	-3.301043e-001	1.452097e+000
1.534008710444277e-003	-4.244596e-001	1.450980e+000
1.541681701515705e-003	-5.177226e-001	1.449865e+000
1.549354692587134e-003	-6.098933e-001	1.448750e+000
1.557027683658562e-003	-7.009717e-001	1.447636e+000
1.564700674729991e-003	-7.909577e-001	1.446524e+000
1.577954022944276e-003	-9.432760e-001	1.444604e+000
1.591207371158561e-003	-1.086752e+000	1.442687e+000
1.604460719372847e-003	-1.221387e+000	1.440772e+000
1.617714067587132e-003	-1.347179e+000	1.438861e+000
1.630967415801418e-003	-1.464130e+000	1.436952e+000
1.644220764015703e-003	-1.572238e+000	1.435045e+000
1.657474112229989e-003	-1.671505e+000	1.433142e+000
1.686073442587131e-003	-1.841828e+000	1.429044e+000
1.714672772944273e-003	-1.950041e+000	1.424959e+000
1.743272103301416e-003	-1.996143e+000	1.420887e+000
1.771871433658558e-003	-1.980135e+000	1.416828e+000
1.800470764015700e-003	-1.902017e+000	1.412782e+000
1.829070094372842e-003	-1.761789e+000	1.408749e+000
1.857669424729984e-003	-1.559450e+000	1.404728e+000
1.869527683658556e-003	-1.460291e+000	1.403065e+000
1.881385942587127e-003	-1.354602e+000	1.401404e+000
1.893244201515698e-003	-1.242383e+000	1.399744e+000
1.905102460444269e-003	-1.123635e+000	1.398088e+000
1.916960719372840e-003	-9.983570e-001	1.396433e+000
1.928818978301412e-003	-8.665496e-001	1.394780e+000
1.940677237229983e-003	-7.282127e-001	1.393130e+000
1.947652683658554e-003	-6.454920e-001	1.392160e+000
1.954628130087125e-003	-5.619376e-001	1.391191e+000
1.961603576515696e-003	-4.775494e-001	1.390222e+000
1.968579022944268e-003	-3.923274e-001	1.389255e+000
1.975554469372839e-003	-3.062716e-001	1.388288e+000
1.982529915801410e-003	-2.193820e-001	1.387321e+000
1.989505362229982e-003	-1.316586e-001	1.386356e+000
2.013919424729981e-003	1.748189e-001	1.382982e+000
2.022289960444267e-003	2.800171e-001	1.381827e+000
2.030660496158552e-003	3.837359e-001	1.380674e+000
2.039031031872838e-003	4.859754e-001	1.379521e+000
2.047401567587123e-003	5.867355e-001	1.378369e+000
2.055772103301409e-003	6.860163e-001	1.377218e+000
2.064142639015694e-003	7.838177e-001	1.376069e+000
2.072513174729980e-003	8.801398e-001	1.374920e+000
2.078791076515694e-003	9.505346e-001	1.374059e+000
2.085068978301408e-003	1.019192e+000	1.373199e+000
2.091346880087122e-003	1.086111e+000	1.372339e+000
2.097624781872837e-003	1.151292e+000	1.371480e+000
2.103902683658551e-003	1.214736e+000	1.370621e+000
2.110180585444265e-003	1.276441e+000	1.369763e+000
2.116458487229979e-003	1.336409e+000	1.368905e+000
2.121341299729979e-003	1.381423e+000	1.368239e+000
2.126224112229979e-003	1.425137e+000	1.367573e+000
2.131106924729979e-003	1.467509e+000	1.366909e+000
2.135989737229979e-003	1.508501e+000	1.366246e+000
2.140872549729978e-003	1.548072e+000	1.365588e+000
2.145755362229978e-003	1.586187e+000	1.364938e+000
2.150638174729978e-003	1.622808e+000	1.364306e+000
2.155520987229978e-003	1.657902e+000	1.363709e+000
2.160403799729978e-003	1.691436e+000	1.363178e+000
2.165286612229978e-003	1.723378e+000	1.362770e+000
2.170169424729978e-003	1.753698e+000	1.362571e+000
2.175052237229978e-003	1.782368e+000	1.362714e+000
2.179935049729978e-003	1.809360e+000	1.363370e+000
2.184817862229977e-003	1.834649e+000	1.364735e+000
2.189700674729977e-003	1.858212e+000	1.366998e+000
2.194583487229977e-003	1.880025e+000	1.370303e+000
2.199466299729977e-003	1.900069e+000	1.374716e+000
2.204349112229977e-003	1.918325e+000	1.380217e+000
2.209231924729977e-003	1.934775e+000	1.386700e+000
2.214114737229977e-003	1.949405e+000	1.394000e+000
2.218997549729977e-003	1.962199e+000	1.401912e+000
2.223880362229977e-003	1.973147e+000	1.410213e+000
2.228763174729977e-003	1.982238e+000	1.418684e+000
2.233645987229976e-003	1.989464e+000	1.427119e+000
2.238528799729976e-003	1.994816e+000	1.435334e+000
2.243411612229976e-003	1.998292e+000	1.443167e+000
