time	V(1ni)	V(vout)
1.697235364828596e-003	-1.890682e+000	1.894719e+000
1.724439605900024e-003	-1.972294e+000	1.889569e+000
1.751643846971452e-003	-1.997700e+000	1.884434e+000
1.778848088042880e-003	-1.966898e+000	1.879312e+000
1.806052329114308e-003	-1.879889e+000	1.874205e+000
1.833256570185736e-003	-1.736672e+000	1.869111e+000
1.860460811257164e-003	-1.537248e+000	1.864032e+000
1.872319070185735e-003	-1.436107e+000	1.861822e+000
1.884177329114307e-003	-1.328593e+000	1.859614e+000
1.896035588042878e-003	-1.214706e+000	1.857410e+000
1.907893846971449e-003	-1.094447e+000	1.855208e+000
1.919752105900020e-003	-9.678147e-001	1.853008e+000
1.931610364828591e-003	-8.348100e-001	1.850811e+000
1.943468623757162e-003	-6.954325e-001	1.848617e+000
1.950444070185734e-003	-6.121947e-001	1.847327e+000
1.957419516614305e-003	-5.281889e-001	1.846039e+000
1.964394963042876e-003	-4.434149e-001	1.844751e+000
1.971370409471448e-003	-3.578729e-001	1.843464e+000
1.978345855900019e-003	-2.715629e-001	1.842178e+000
1.985321302328590e-003	-1.844848e-001	1.840893e+000
1.992296748757162e-003	-9.663860e-002	1.839609e+000
1.995784471971447e-003	-5.278949e-002	1.838967e+000
1.999272195185733e-003	-8.967590e-003	1.838326e+000
2.002759918400019e-003	3.482709e-002	1.837685e+000
2.006247641614304e-003	7.859454e-002	1.837044e+000
2.009735364828590e-003	1.223348e-001	1.836403e+000
2.013223088042875e-003	1.660478e-001	1.835762e+000
2.016710811257161e-003	2.097336e-001	1.835122e+000
2.025081346971447e-003	3.147030e-001	1.833586e+000
2.033451882685732e-003	4.181001e-001	1.832051e+000
2.041822418400018e-003	5.199249e-001	1.830517e+000
2.050192954114303e-003	6.201774e-001	1.828985e+000
2.058563489828589e-003	7.188577e-001	1.827454e+000
2.066934025542874e-003	8.159656e-001	1.825925e+000
2.075304561257160e-003	9.115013e-001	1.824396e+000
2.086465275542874e-003	1.035324e+000	1.822361e+000
2.097625989828588e-003	1.152708e+000	1.820327e+000
2.108786704114302e-003	1.263654e+000	1.818296e+000
2.119947418400016e-003	1.368163e+000	1.816267e+000
2.131108132685730e-003	1.466233e+000	1.814240e+000
2.142268846971444e-003	1.557865e+000	1.812216e+000
2.153429561257158e-003	1.643060e+000	1.810193e+000
2.158312373757158e-003	1.677266e+000	1.809309e+000
2.163195186257158e-003	1.709894e+000	1.808426e+000
2.168077998757158e-003	1.740912e+000	1.807543e+000
2.172960811257158e-003	1.770292e+000	1.806662e+000
2.176662384913691e-003	1.791456e+000	1.805994e+000
2.180259495313287e-003	1.811093e+000	1.805346e+000
2.183236365175405e-003	1.826646e+000	1.804813e+000
2.186212831752769e-003	1.841558e+000	1.804285e+000
2.191095644252769e-003	1.864623e+000	1.803427e+000
2.195978456752769e-003	1.885933e+000	1.802576e+000
2.200861269252769e-003	1.905468e+000	1.801734e+000
2.205744081752769e-003	1.923210e+000	1.800900e+000
2.210626894252769e-003	1.939141e+000	1.800075e+000
2.212814482241620e-003	1.945688e+000	1.799714e+000
2.213996028952462e-003	1.949071e+000	1.799568e+000
2.214500624130315e-003	1.950483e+000	1.799683e+000
2.214785660954236e-003	1.951272e+000	1.800061e+000
2.214970560284915e-003	1.951780e+000	1.800631e+000
2.215134257435296e-003	1.952228e+000	1.801390e+000
2.215216464354919e-003	1.952452e+000	1.801853e+000
2.215305944439608e-003	1.952696e+000	1.802411e+000
2.215402758858382e-003	1.952958e+000	1.803047e+000
2.215512407816579e-003	1.953255e+000	1.803792e+000
2.215598162898854e-003	1.953486e+000	1.804387e+000
2.215771030979710e-003	1.953951e+000	1.805606e+000
2.216077032946766e-003	1.954768e+000	1.807779e+000
2.219074115173613e-003	1.962389e+000	1.827631e+000
2.222071197400460e-003	1.969310e+000	1.846028e+000
2.225068279627307e-003	1.975530e+000	1.862970e+000
2.228065361854154e-003	1.981049e+000	1.878457e+000
2.231062444081001e-003	1.985867e+000	1.892489e+000
2.234059526307848e-003	1.989984e+000	1.905065e+000
2.237056608534695e-003	1.993400e+000	1.916186e+000
2.241939421034695e-003	1.997442e+000	1.932351e+000
2.246822233534695e-003	1.999604e+000	1.945685e+000
2.251705046034695e-003	1.999884e+000	1.956399e+000
2.256587858534695e-003	1.998282e+000	1.964662e+000
2.261470671034695e-003	1.994799e+000	1.970611e+000
2.266353483534695e-003	1.989438e+000	1.974373e+000
2.271236296034694e-003	1.982206e+000	1.976321e+000
2.273729292123961e-003	1.977793e+000	1.976619e+000
2.275703312376842e-003	1.973955e+000	1.976493e+000
2.277827038196699e-003	1.969486e+000	1.976175e+000
2.279982096474669e-003	1.964593e+000	1.975773e+000
2.282634382185818e-003	1.958077e+000	1.975244e+000
2.285416694125498e-003	1.950657e+000	1.974683e+000
2.290299506625498e-003	1.936195e+000	1.973694e+000
2.295182319125498e-003	1.919912e+000	1.972701e+000
2.300065131625498e-003	1.901821e+000	1.971706e+000
2.304947944125498e-003	1.881940e+000	1.970709e+000
2.309830756625498e-003	1.860289e+000	1.969713e+000
2.314713569125498e-003	1.836886e+000	1.968721e+000
2.319596381625497e-003	1.811755e+000	1.967740e+000
2.320204666932853e-003	1.808504e+000	1.967619e+000
2.321421237547565e-003	1.801923e+000	1.967380e+000
2.323854378776988e-003	1.788446e+000	1.966901e+000
2.333169520774547e-003	1.733016e+000	1.965069e+000
2.346422868988832e-003	1.641961e+000	1.962465e+000
2.359676217203118e-003	1.541462e+000	1.959865e+000
2.372929565417403e-003	1.431518e+000	1.957268e+000
2.386182913631688e-003	1.312129e+000	1.954675e+000
2.399436261845974e-003	1.183295e+000	1.952085e+000
2.412689610060259e-003	1.045017e+000	1.949499e+000
2.425942958274545e-003	8.972948e-001	1.946916e+000
2.434313493988830e-003	8.013984e-001	1.945286e+000
2.442684029703116e-003	7.039718e-001	1.943658e+000
2.451054565417402e-003	6.050151e-001	1.942031e+000
2.459425101131687e-003	5.045282e-001	1.940406e+000
2.467795636845972e-003	4.025112e-001	1.938782e+000
2.476166172560258e-003	2.989641e-001	1.937159e+000
2.484536708274544e-003	1.938868e-001	1.935538e+000
2.499185145774543e-003	1.011405e-002	1.932703e+000
2.503370413631686e-003	-4.256695e-002	1.931894e+000
2.507555681488829e-003	-9.512791e-002	1.931086e+000
2.511740949345971e-003	-1.475688e-001	1.930277e+000
2.515926217203114e-003	-1.998897e-001	1.929469e+000
2.520111485060257e-003	-2.520905e-001	1.928662e+000
2.524296752917400e-003	-3.041712e-001	1.927854e+000
2.528482020774543e-003	-3.561319e-001	1.927047e+000
2.538247645774542e-003	-4.772183e-001	1.925166e+000
2.548013270774542e-003	-5.954284e-001	1.923286e+000
2.557778895774542e-003	-7.107620e-001	1.921408e+000
2.567544520774542e-003	-8.232193e-001	1.919532e+000
2.577310145774542e-003	-9.328001e-001	1.917657e+000
2.587075770774541e-003	-1.039505e+000	1.915785e+000
2.596841395774541e-003	-1.143333e+000	1.913914e+000
2.612884922560255e-003	-1.305759e+000	1.910845e+000
2.628928449345969e-003	-1.451719e+000	1.907781e+000
2.644971976131683e-003	-1.581210e+000	1.904721e+000
2.661015502917397e-003	-1.694234e+000	1.901667e+000
2.677059029703111e-003	-1.790791e+000	1.898617e+000
2.693102556488825e-003	-1.870880e+000	1.895572e+000
2.709146083274539e-003	-1.934502e+000	1.892533e+000
2.731467511845967e-003	-1.984163e+000	1.888311e+000
2.753788940417395e-003	-1.996430e+000	1.884100e+000
2.776110368988823e-003	-1.971302e+000	1.879897e+000
2.798431797560251e-003	-1.908779e+000	1.875704e+000
2.820753226131679e-003	-1.808862e+000	1.871520e+000
2.843074654703107e-003	-1.671550e+000	1.867346e+000
2.865396083274535e-003	-1.496843e+000	1.863181e+000
2.877254342203107e-003	-1.392273e+000	1.860972e+000
2.889112601131678e-003	-1.281614e+000	1.858765e+000
2.900970860060249e-003	-1.164864e+000	1.856562e+000
2.912829118988820e-003	-1.042023e+000	1.854361e+000
2.924687377917391e-003	-9.130922e-001	1.852162e+000
2.936545636845962e-003	-7.780708e-001	1.849966e+000
2.948403895774534e-003	-6.369590e-001	1.847773e+000
2.954681797560248e-003	-5.614002e-001	1.846613e+000
2.960959699345962e-003	-4.852668e-001	1.845454e+000
2.967237601131676e-003	-4.085587e-001	1.844295e+000
2.973515502917390e-003	-3.312760e-001	1.843137e+000
2.979793404703105e-003	-2.534187e-001	1.841980e+000
2.986071306488819e-003	-1.749867e-001	1.840824e+000
2.992349208274533e-003	-9.598014e-002	1.839668e+000
2.995836931488818e-003	-5.213048e-002	1.839026e+000
2.999324654703104e-003	-8.308367e-003	1.838384e+000
3.002812377917390e-003	3.548621e-002	1.837743e+000
3.006300101131675e-003	7.925326e-002	1.837102e+000
3.009787824345961e-003	1.229928e-001	1.836461e+000
3.013275547560246e-003	1.667047e-001	1.835821e+000
3.016763270774532e-003	2.103892e-001	1.835180e+000
3.025133806488818e-003	3.153539e-001	1.833644e+000
3.033504342203103e-003	4.187446e-001	1.832109e+000
3.041874877917389e-003	5.205614e-001	1.830576e+000
3.050245413631674e-003	6.208041e-001	1.829043e+000
3.058615949345960e-003	7.194727e-001	1.827513e+000
3.066986485060245e-003	8.165674e-001	1.825983e+000
3.075357020774531e-003	9.120880e-001	1.824454e+000
3.086517735060245e-003	1.035888e+000	1.822419e+000
